policy,ratio,round,episode,success,steps,reward,initial_pot_z,max_pot_z,final_pot_z,max_pot_z_delta,min_both_eef_handle_dist,final_both_eef_handle_dist,first_both_eef_near_step,grip0_close_frac,grip1_close_frac,first_both_grip_close_step,mean_action_z0,mean_action_z1,final_action_z0,final_action_z1,mean_abs_xyz,mean_abs_rot
noise80_r1,noise80,1,0,False,600,129.61171080146795,0.8700000047683716,0.882412850856781,0.882412850856781,0.012412846088409424,0.021375318989157677,0.03670980781316757,122,0.0,0.0,,-0.01917546258928875,-0.039635842411468426,-0.0027983617037534714,-0.0673033818602562,0.03715477784785132,0.012036008530994877
noise80_r1,noise80,1,1,False,600,131.5812790781938,0.8700000047683716,0.8764211535453796,0.8764211535453796,0.006421148777008057,0.03020547330379486,0.049383897334337234,117,0.0,0.0,,-0.024439028338529168,-0.05558685681161781,-0.005640560761094093,-0.08443281799554825,0.04302689359523356,0.013667026997621482
noise80_r1,noise80,1,2,False,600,140.7453208928225,0.8700000047683716,0.8919218182563782,0.8919218182563782,0.021921813488006592,0.020098809152841568,0.10088455677032471,99,0.0,0.0,,-0.023298288895748556,-0.05387756810989231,0.07426334172487259,0.019828906282782555,0.0534743875823915,0.015593324114258091
noise80_r2,noise80,2,0,False,600,134.34911703716173,0.8700000047683716,0.8700000047683716,0.8698907494544983,0.0,0.02449241280555725,0.029676297679543495,96,0.0,0.0,,-0.04477561614786585,-0.044283608937015134,-0.05962216109037399,-0.07842040061950684,0.03268223190680146,0.00865363985300064
noise80_r2,noise80,2,1,False,600,137.06564149731057,0.8700000047683716,0.8700000047683716,0.8699055910110474,0.0,0.028128428384661674,0.031050696969032288,109,0.0,0.0,,-0.032732481874215104,-0.040838794557688136,-0.029066499322652817,-0.06459447741508484,0.036789097626072666,0.013050453803734853
noise80_r2,noise80,2,2,False,600,140.23729822266802,0.8700000047683716,0.8703980445861816,0.8703980445861816,0.0003980398178100586,0.015149864368140697,0.026438593864440918,99,0.0,0.0,,-0.050892725493758915,-0.06814096250726531,-0.04037107527256012,-0.078327476978302,0.05141656087245792,0.013066249173910667
noise80_r4,noise80,4,0,False,600,137.74354252006856,0.8700000047683716,0.8700000047683716,0.8699663281440735,0.0,0.012560542672872543,0.041169174015522,106,0.0,0.0,,-0.008709065777560076,-0.004468549375111858,0.01948133483529091,0.02724708430469036,0.019621313759901872,0.006312687369063497
noise80_r4,noise80,4,1,False,600,130.99785200404435,0.8700000047683716,0.8743489980697632,0.869947075843811,0.0043489933013916016,0.0185488760471344,0.03596416860818863,110,0.0,0.0,,-0.013652251004241407,-0.0260061375470832,0.0011825617402791977,-0.013456854969263077,0.030003406279720365,0.010093794729133758
noise80_r4,noise80,4,2,False,600,133.78994524741995,0.8700000047683716,0.8700000047683716,0.8698939681053162,0.0,0.016620248556137085,0.03499307483434677,106,0.0,0.0,,-0.04096050050109625,-0.06080031025068214,-0.030784757807850838,-0.05771144852042198,0.03934730934755256,0.00907053404681695
